timestamp,source,strategy,symbol,token_address,reason,checkpoint_h,ref_price_usd,now_price_usd,change_pct,ref_liq_usd,now_liq_usd,later_bought
2026-09-21 13:05:51,REJECT,CTO,SUN,AHyaRXddUqiB2YRbubcFLnwc6pRuMTEVsxAcWMdTKPSm,liq,4.0,0.000018180000,0.000008104000,-55.42,11610,7748,nein
2026-09-21 13:12:25,EXIT,CTO,REMARC,3fAxeRbjd75zp9TZ5xGYAnannU7h9qvcPbSzh95vvt4Y,CTO_TRAILING_TP,1.0,0.000031880000,0.000055110000,+72.87,16886,22345,nein
2026-09-21 13:23:10,REJECT,CTO,OUTSIDER,EvchpvEQi6vSP2bAqq2mfkmnfKjweMky82dWicAhbr5z,liq,4.0,0.000017790000,0.000006787000,-61.85,10396,5684,nein
2026-09-21 13:29:44,JUP_SIGNAL,CTO,MCAT,6oeiky8G8ZnuvadARQPRMkV6FRz8ALKd579ZuXhKSTNK,dd-77_m5+15_net11,1.0,0.000096867868,0.000109200000,+12.73,15639,32903,nein
2026-09-21 14:03:49,JUP_SIGNAL,CTO,JEANPHIL,GTBxUiw6wJdmmkCGZgRHLyYxqu1vG4KtRpeox6yDpump,dd-63_m5+9_net225,1.0,0.002578823354,0.002494000000,-3.29,390309,190644,nein
2026-09-21 14:34:22,JUP_SIGNAL,CTO,+++++,FPPGF5RNgCvNzqrRqWrkgkL4YQhzqKMNVtD1kWk1ooqg,dd-60_m5+4_net21,1.0,0.000357509612,0.000836700000,+134.04,38672,91546,nein
2026-09-21 14:41:38,JUP_SIGNAL,CTO,TIPPED,tipp4C4Jnpft26HC9VXNjUPidojZqxXf8nzKvrKf5BS,dd-74_m5+11_net11,1.0,0.000198318772,0.000165600000,-16.50,26597,48419,nein
2026-09-21 14:48:23,JUP_SIGNAL,CTO,UMADBRO,EPeReW6ScEqdeC7eVDceLuJDLrW7m1ggnaenSeQoP9b2,dd-57_m5+18_net11,1.0,0.000088118640,0.000081780000,-7.19,14772,27975,nein
2026-09-21 15:06:05,REJECT,CTO,BINKY,2g23GpSneyx7Uqb25YKA6i66m8f1VDYwpGCVGXhdwK8h,surge,1.0,0.000076270000,0.000068420000,-10.29,25727,24451,ja
2026-09-21 15:12:06,JUP_SIGNAL,CTO,LEAN,2Hm8qcnud7LEes2inqHcohQKcD7sqAqX8wb9W2uxwB7g,dd-57_m5+16_net13,1.0,0.000201228608,0.000176100000,-12.49,21810,40439,nein
2026-09-21 15:39:34,REJECT,CTO,ZEBRA,EqFG72Z35r8cAV8mKu3UK2L8NUTR1ZNyMr88E4BnwN8Q,surge,1.0,0.000227200000,0.000149300000,-34.29,51119,41095,ja
2026-09-21 15:44:22,REJECT,CTO,REMARC,3fAxeRbjd75zp9TZ5xGYAnannU7h9qvcPbSzh95vvt4Y,surge,4.0,0.000020360000,0.000035500000,+74.36,13459,18086,ja
2026-09-21 15:50:21,ENTRY,CTO,ZEBRA,EqFG72Z35r8cAV8mKu3UK2L8NUTR1ZNyMr88E4BnwN8Q,gekauft,1.0,0.000157700000,0.000141400000,-10.34,42200,39995,nein
2026-09-21 15:50:59,EXIT,CTO,ZEBRA,EqFG72Z35r8cAV8mKu3UK2L8NUTR1ZNyMr88E4BnwN8Q,CTO_HARD_STOP,1.0,0.000130900000,0.000142400000,+8.79,38276,40142,nein
2026-09-21 15:50:59,ENTRY,CTO,BINKY,2g23GpSneyx7Uqb25YKA6i66m8f1VDYwpGCVGXhdwK8h,gekauft,1.0,0.000063360000,0.000060510000,-4.50,23555,23060,nein
